prompt,LLC-load-misses,dTLB-load-misses,cycle_activity.stalls_total,instructions,cycles
sbw&?QWEYz4V_b%>h,17970065,4384986,10071494416,22755850672,21984014755
V5</B&FRa\{P#N5,17298399,3913958,7222151683,19368920427,16305325182
"+"":v{FA{Z{W#",16662460,3887060,6752428290,19369525846,15535582907
-7iHUwP*V(X4TlVt`%zE v3C'C5bZj{+-}0/`:-[u@_~&Pv,15043716,3785423,9832919101,22924046233,21833568423
"^ H""LD;lfFhwSN;v/<6:-!Vp",19181029,3885032,7380067721,19490472121,16592921157
Vvx\X|H)Z^VGt$\lI3T4l]G{qHzf@Jnf0Y(y^C,17044064,3899554,6889676119,19540178256,15939531605
"*i`4[kV-?B~M\8$28`l4L8)Jxj2^8Q0ZXS%Xa""ol]]",16622555,3878570,9924892358,22771677654,21846091330
"(=1#;d{^]l0quP^y.?a+B,9&{:c?JNM",17835353,4873225,7447194435,19378318025,16624569638
9)l9@FN0]7zfY-|R,17756965,3920234,6936184958,19414551020,15790416221
">wb(gmKL+3m]);G""^g@cr27I^%.BEt>?:\.L^gjf)Yu1",16677713,3852288,10166486466,22776401950,22168234656
S&#Sn!a&niAXNjW1lVn#,16863908,3871268,7387678696,19623965834,16711333288
"|,g_IWm(vT)""g>S%7kiw|B""#|q%Z?R,{W",16292826,3794631,6473515770,19349247998,15031618965
XHP8=L3[o?Emb#!xO85g<h@+3QW/!^ArqZ3gH!APX?.Tl]>S,16866350,3840005,10096085823,22683966222,22189794421
Z8)46b6s_(b|F}<th&>o,16777225,4553558,7523447740,19472622640,16957645491
"""{^e-^Eji?J",17439700,3846142,9834974894,22794328149,21811452320
++:@3Pn[L-5$,17254538,3811290,10405690772,22830334409,22717536648
"\zL'EAO({^5si0bKB4U3T!;F2d2,2DBtiny'PD=T[&AMft",17485172,3950290,7065337458,19208057943,16038091669
qXit<C!QeTxqlmBq_ww_E X~%~l3CSJ~F'Z,17209780,4003990,9759926637,22616593750,21528611807
^_jSn&qI_s(?l./dai.;FThV&`K#qu4;04,17214516,3802788,6992961792,19294110768,15901811981
[yzE;C>FmH*Z`I|l;#OAJcPp6')BXip{gJFy,19439569,3807511,7176634417,19408632769,16258419166
=BVh# .OZ x#IbrkYM(de:>H:ygY3,19115165,4920242,7471381817,19556669845,16744233109
"R-GC/t#o$UL(h=S_f)4S{a}{zFc8m$HgT`I.E$5xoq+|,d@",17529963,3964153,7014227774,19019532237,15866650020
"M9 )""G/)y~E{qIia3a&R*S=R~WN{eVv~",16543457,3941459,6227208309,18262580706,14242078649
"Uw.Q4r,fvP",17245461,3819172,7014044795,19508144396,16080012782
"3,tZ7?6r_`4.p3jTsL@5m+""v^vVv^KxT@",17763985,3783371,9982275350,22818752265,21905875667
"L}[BGlj`P""@p'_($O&!q+&%zw%pAU-F>e""7",16867563,3845345,7612002089,19723017018,17068604991
HPe 7.t?y%{h=B):ucbh3lH[}]/xO}K,17029285,4350449,6860370107,19342062755,15582357076
",]U^8>)Xv[8QzE_.I:-Uq{hD>ObV-Y6~gr}IN[ef",16914770,3842869,9951188244,22609516626,21690925157
"uQo.)Y-v)N\D4 A=dm_DD0`GiY.]i,T/f;ls;ZSZjdlrKt~kWJ",17024023,3881147,7049892842,19120530738,15927291550
g%AwSYD-?FP9Cc@g_#*3`MX}hj6?7t0SD$t1G<~W*can,16620060,3864626,6846628332,19494564653,15682827783
;rq>0:kK:jEb2Y:?B0j2e*|@E'{~I>gd'=XhIu@qR1jV0U#Diq,19260180,3937399,10291268521,22762123704,22298329226
NaN>L~yp!?Nfi&h'HNH$euKc6$q,17473471,3901499,7193964156,19357002191,16282397901
I_Hvm:|v@lD4jV c/#9im~6oh5!Ft3,17807926,4165989,6928564880,19362397242,15823542771
KXUz[O*(F@S,17965349,3934929,10054179893,22737359932,21977913816
"rJ)eP!43,>~t#Y;<vZ9T D8x,Jq-",17708564,3871447,7439521062,19581976777,16714050130
"(B7&Ni|K.%N!@""^9s<M',Gs@_",17630275,3916553,7071040168,19493205736,16129866143
zGhA$Q:qf6#JcH@EuBmG12Ki-~DNmR~A?,19610248,3888323,9983099402,22582264619,21766431973
"JVfk24,P`Igc^gY4FC~7fLFU/LtaTH69?XYk$Om_ SwA)",18128020,3894426,7317387474,19445635736,16479156172
Jl7*%iwOV7biY7,17696687,3887972,7073669580,19607966616,16151181760
d-H{TMOTn?T9-E2+R~or)i,18642128,4505995,10081953937,22570739050,21904592295
GB/D(|4rH!0,18673233,3821318,7607463795,19649402160,16985949060
"4cwZMt95KNa^-Y_7X\vEyK4]n`EGQ#l$""$",20210188,4128116,7222364929,19430760884,16138112950
"6clLkZcG#.k{EcD[eGXQ*I]Y@3[u\ln'+l,}2_",18119254,3877786,10012329950,22553849755,21841713046
7//FH|?.@7T#[5,17757613,3900289,7479196381,19624075019,16852587477
qXSX<+lBul,17205480,3884944,6875231780,19617728012,15811412669
j}_pv^v7UhA4,19986321,5139914,10327580735,22463542246,22338148579
"e[tf{r^,vY`_O~!dw76M",19784325,3886130,7565007008,19447942761,16742182962
2y=rM;XP1G7FY%mRY&o\&TI,22293001,3913366,7017264509,18662968493,15413542763
"cpL/C>pvx=@CPq(Prp>@JUi:Q4w2Iv(oO,x=n9^wB4m4OJZ(5",25068842,4856558,8897809660,19427493856,18797283836
g+tCz6W}]6I76MVs&Y50 Dd]5pxmQJ7bi ~9/^yEqf\!\u?L?,20163124,4183685,8048102541,19698608424,17643144094
24LRkTEk7%WLeUP~,21252759,4101916,6764941666,18278051939,14958950028
"8~K+w?5`wa""l?aiX0D((Rs~\$`",23369802,5143588,7757063646,19267945553,16874153038
/2J2t#_Ri9=+>qaxgS|!^TO8erv4?V0%_;3$HrGP?H:-#!<:r,23288469,3909187,7793516541,19403651359,16958480958
"r`f~V::l,^k1'{Im4s7@RPu\h",20726351,4944700,7782015405,18709500270,16808574627
":}[d[N9twZ5q>7u/G_^W>6#98nNc#v@V1E@5W@hkZk@o""",20052205,3987636,6704043890,18530291601,14958040351
"3e@.?_\1D->uDq0D,}v",18718840,3828171,7397535998,19784684712,16711796621
OnBu&Xmfv=i=,17289747,3821382,9790305441,22715200762,21639957374
G0.wl16kCd [Jg&,18535728,5086381,10593313070,22711006639,22984214223
"$AS:t""VhT3pubp#N9*9EA<$./{.Wzv,_v;xvXs",19973163,3842822,7213115142,19336397092,16249377796
upHQb@8B1o$>|F<Y3csvdD|92dS;=,18286370,3829612,9836331379,22692989657,21643812439
2Ok<jC]-RK;X!QyANM]Q7))Ro,18427643,4179820,7350903499,19268562816,16355441403
"rz'Ik2H>3QA,)ULbou5""QOo""\Io''U",19096985,3888577,7427270693,19667619135,16744342750
"I8qXOZ\S0 8c<\8JN<qH!v'\;35""K18-*22dX,",17789469,3837014,9784198726,22550508589,21525178061
q=?6Q`p_eW.^+{[21]%BnVdkO}%#A,18884304,4331557,7848295398,19768623838,17418415432
"E4a""NU-G5~Db-cK]Bp,7PFYG_}$AVxUP,59o^^",18504525,3878531,6793189786,19114710011,15517065578
X&o@Oi2E=s:Q75(uh7cNOQgc{v,17328746,3811431,9680809321,22538719325,21378655579
*o3ZuFd/v\gL#mgJQ FFw%Y,19247244,4238703,7537774552,19329735560,16790265423
v22]Hgl|+OVuF=Tv\2.$Y^[J$'OUK8-74[j!'g,19601983,3836448,7227294003,19693072916,16343969280
"!<1@ O*uSxV^x #Ofryggpn;:""r_2jTl- ojtFI=pf7Wf7",18894049,3859794,9999649692,22785136218,21949649928
{Ct\;_^:4-G/F+iFGv6F7,18545287,4512742,7302769068,19337258106,16412807829
"iZ})`qw""~4teyb$_J}@RL:^oj}s$\v'n[vRIpC-X615?h|}",18356274,3845150,7166244788,19670813157,16241550894
#1oM5ki.5Aky1)V@_+{I`iiZV<KIGvMsX,18075543,3825675,9978728524,22655963094,21862411141
[h[Z9X9_y4_Aw3,17756224,4170233,7470594537,19313388108,16685301950
":lVT+JA0_v~#*Fb0>%ZN,M7euIUOXvNn=DK[K=)=}W,C^bq}",17511414,3930717,7064175006,19551902624,16002723586
"lq|{.?UxFmezkbLA`NH.ewIjh%loJ%\JTmsD5t|G}^E""7KZA(F",17551644,3833592,10168622786,22751580618,22103863636
"@#l|49#Qj5s5.g6,Rs8 ,CXww2Q_LMS5",18080460,3929819,7281600709,19407784910,16401265519
%@okCC:D<tc;;ir8aOAl!#aR25h3!#O-f NSuF,17517673,4363950,6676806279,19332568852,15279724392
FXvzERXEW[l_<q_nTNAha*,18108352,3814583,10102792049,22736769986,22054586478
y n{|JWZ=ufCs[1.ErIGtTCO{M+Cb77,18320502,3879915,7452530804,19488657561,16653284050
|DUxVF8I|*'D~'_Q1kD7M/`7@@-H,17621744,3976898,6991915197,19651925412,15946827818
":i1^di?K""c` s,;E",17951297,4041443,10317147349,22708513810,22415428029
"7|WdwVR,Rs:Tw9>6Gi#MqO YYgdde`1k[HZ",18208010,3898537,7312565755,19472043678,16508694122
(Dm F7MF5Mc5z#qUc{m5/HeUi`n$7LwRl)BB[{=,17779249,4349876,7040505081,19808521612,16114777869
a<tb`?{Se\|dT$sa=1TP&T/g:?#9]Phw{Wb,18047928,3886329,10041186582,22542173882,22006582352
w10-.@P]2{6E?cl]o8}';,18383899,3887520,7326881350,19430352036,16458343382
(6?g*b5'?yrPf5lJI09r:x=*M=4xZz-(n2$,17370175,3966224,6614811322,19338024948,15264283064
_6|5#2dx720.,18071157,4014611,10526237725,22694152376,23009510527
9+Q=<1]%VVwu7<q>S.jEXF>E?hTmH=mGpo,18642323,3886651,6727790116,18584752742,15046632437
%~A{D=4$t|Y3p./,17774235,4613267,7027807136,19793077362,16086914595
)YXS?j5%F<a;aF63N@$mh>~sDzy3$S0M -H;X[,17732116,4033810,10120164867,22509613904,22018424007
ZE:\eCiXRqg:#2Yn6y7CB950,18058848,4274248,7852096419,19673561857,17490219019
V(-^+DXm)e%ur2Ikc^~sWa3Q%wBT$fFS/,17362274,3857335,7071877291,19886382715,16184172271
0D]bNnf~MJB}[lo3DJw3~*]Ve.WY8#e<6#6Z#B<F(M,18790233,3945257,10351998234,22628550791,22328076578
:V6u#8ESuG<gNR42WQ=/u&b{,18441715,3977941,7483888700,19520529764,16753921853
C[)=ITgvwZ4^`_=,17769504,3905421,6720147395,19480153777,15492195525
"c,9zb/<!8?{@j4Sq2cX.amW<D)P7&5:Fe[?R-f7jn",17697113,4203933,9985410599,22673741988,22020652513
">:|yJ_F?VJ9vi&l5vRb)f{nu$PHG(|gPStL(""g?e&Uu1f",17375068,3914586,7233652285,19460219427,16414685025
",|q'S<xJbO~D0F15)6z*ua>W'K3AFG",17693569,3829014,6805131058,19536215028,15601159989
/;ig_A5WzJ3yQw5IX %jv$W{9^xufN&0yVy;46nD=kIL9cUzS,17771670,3811103,10149612729,22700246923,22183022630
"+LZH,GjwC*.8,gZu""ZPaf",18579075,3870947,7249021154,19386026572,16357848877
"mg+|3*HHg7\<z?,`0T8W1",17774397,4125695,7460232704,20098028044,17000547332
z/P9y`ZN_~o_t]_I:HuP#$%D@>&'hSg6{rnP:')zJd*,18339470,4374761,10107127972,22587412757,22119963127
Ol$OM]@7'%lZ;'?TN_ Q2`=z8:_cA8` >0,17899337,4025661,7456895309,19581059337,16792834640
"""a(FjK6zS@ZM)Htze|f,>7*x,5\,yk>",17691667,3951143,7128530555,19857847837,16268339389
"~H0q<5MP2_6O}eIK""Bg#""&$@#F<e1;{|;}%",18274127,3850027,10208805192,22586827599,22352496671
Hi%ORUi} aebCG<Yu[kB!%EyDP}uB,18036243,3924941,7904677124,19797211731,17617923466
X4E3d #=R)`#~$u,18221851,3869872,9260250988,22226220404,20699803197
wsVz&LcAjj,19851902,4432470,10358101749,22448982183,22315419849
_VivRD8`%{jPz{%m1|VS^klT9Fg`H7ILv,18475556,3998682,7496286079,19521062828,16785817848
"'(Z;:@|i$x.0=RgS6H6S$,B,",17872381,3829255,9669793928,22578056786,21455537707
:plM3~;g+AhF'[ZPUe3Mp8y,18008941,3873880,10525828062,22611988684,22909081195
"rog(FrAXmZ]""B_[m@}!J\NwuS0`'X4-IS9bbJhLzNAqp6f&Zz|",17723170,3859995,7466705056,19618444808,16817123040
^*]AnST22GO=Di-kw!>{ahb~wHbs[03,17615222,4012125,9725663354,22449326977,21493564033
_JuCw^NfkPNMeE;+d=(<=a3V;(()4,17960961,4348494,10546895483,22383600204,22800460174
"+*S@w/#lx~1d6S>q'PTh9""`b",18963213,4181194,7097983981,19184813557,16004935313
D6pU>1CgB)q'6zC=#4@5ZVNw2F,18699942,3830694,9922514886,22787796626,21829850269
"fkJ'ER45Yq^une,{ii r){(=$V",18713424,3844025,9853785527,21740906816,21653122562
F:3;~`jLoS8_a]?k,18859275,4260191,7350808517,19547866976,16653062753
VaZ(QQg`H' fT}rnq8d87-*H,18268875,3835650,9552373842,22427894917,21155926930
!phvnkW4)Zo7[Km6\=tM0Ac74ei],18208941,3893293,7222871821,19367460508,16316952800
5Ud#X^Aj`f3=NtxL7I?=oSPQHjd_pXSFl`EAT5NemUn\o,18517873,4719658,6990036131,19397134387,16013882577
8LSaj]zLg-;_4&,17577708,3825152,9838014672,22668032927,21627626210
"/!\#<=J4o+Fvle>tEg<?G~$,",18084165,4025511,7664167110,19743876206,17202797598
9tz20g!;wh%sjb{;C#mI/:kUrUZJsb%\=8'7&;i!P<kYA*[,18690900,3873919,7163203312,19456093238,16271716651
kN{=fMd'bBC.%>9e|(A1n^H_l Jl&Y^!@H$cFgdABJ,17245334,3824982,6690307821,19583022477,15314370549
kY/Rz`;_dkas~lN,17527129,3840021,7305835835,19495197514,16545594877
"'[?QQ+6,f9p",18688372,4507956,7351611491,19571098406,16616693128
"cf?D, 5:\GD4B3>2 D,|8e2`&J",16999384,3878333,9771541500,22522078940,21524765132
hgfSe|08.*Nw&<F?~^<LyV7.1T}>eV]hrq=n~T>7!5IM3v;,17327744,3896356,7249310761,19473567433,16432365386
"""0\jS=U#MXMYqSf_}>YT*QczDlO^:*^~TP-#mbJ""!p",18272985,4367256,7161872150,19260412349,16142286255
=c<=wqT_WG}A-h,18835745,3831137,9971618595,22667923459,21932100680
Kbf'JR39l`Au>0N0#5[`/|DA&<*F70dm'FX,18572178,3985283,7626007752,19742419644,17136831146
esgS pi%vq)5=@N]rM-v+x`e%<eXCnzGB<#-e$&.A^zWVL9%|,19256665,4430616,7169230365,19498270103,16137998489
":noN,m#3so#[S_mi0@e(2bW1n""RkikAv(x1jjVym%7kh2%.C",19851994,3894926,10044166566,22562279824,21822287563
"M/K<':?:*I{hp(+x)U)nOw:3?y+K,CsshYxxw.!#/$BnQ{]EG",18136909,4279838,7878625887,19452051643,17380020577
A\4Y2K2Tx:Uv;AOPn#gtBEF?)S,17485150,3918900,6993375586,19577145394,15917875263
"=Zi;(uXP)4B,A]`7.RDlG~H|$F4oxe4L1X=I4RE54vk",18796272,4061824,10309642792,22743929419,22319612065
"UuJ0.! ;~Z(eBg""vMWPMwz^[B\ee3L&BZ]w/",17991016,3886523,7077375052,19199435216,16001661241
TRU&O~Key1lRi*VR1|<W6O&9$x,17866482,3887594,6629766542,19270429539,15188386287
"Fd>AmWT:\;f%:2fB__rI45#Hq.Sbs$`Qk,!",17890936,4582269,10218917367,22647729470,22155937732
"m GRs6J G[U8=""Q<",18257996,3920243,7174763462,19322774878,16179316731
"hbN(W.oIlhBLxYmeTR>v)-cKX:{,4no8F'%dv),-2F",18508236,3816919,6855144380,19571247040,15709211420
@IixHT7js*Vlk}tX2VI$f{5m&^Y$1=~=S%E?{n!E,18162073,3853083,10107820269,22642976464,22084976760
(s1vcbp3#dB>6(RxM=`.C,18061638,3928714,7248232720,19396330436,16375616255
"q{IZ8n|bNwDK_n&+uZ,CkV=QC;Z)DZU2Xsf""%cv@_BbhS~zS",17372633,3808534,6662995617,19506251181,15441146118
rrkolC1W_R(Z~v\<Ki%>({XQ{Z%6,18323614,4736399,10297724049,22676532741,22498136629
[GC*a@W[Y;]MV,18753955,4025943,7605068014,19545105404,17013778027
}[s)Lx+^%ELCL^CM5+PL,18091657,3896456,6507753903,19249462578,15029043206
Uo4>k+k{0^.dCR{<N[BPJ+,19635565,3967065,9793693991,22406703826,21489390172
PtH:$/9/+#~LA,17668447,3959954,7172523133,19309754360,16214905669
",f?x8ES3(hL(u7Xw@Z+A53",18915890,3874136,7331258497,19368550048,16498648661
#&mY|IC?<I.>fWbLfIe\C9i,19510021,4325356,9909387737,22531756100,21600749174
"Z614""wX]ud(M?1H:""[-]))> }%mmR|IKN]CB",18825970,3857530,7564501364,19681658592,17002599954
"O""]*^+hOfXBtCi(t3#K/u*z,4]",18788712,4192200,7235808704,19496051323,16340288393
"vk_DXwq,T*ORCS51$<C%'{Z~",18360231,3809920,9602570395,22380902265,21131050577
K5nswX2W|D`@V<D;x',17932418,3896193,7363617033,19427200457,16514617450
"5i""{E;auCChz:i}qP)!663Mh$XgU-\)",20162480,3911192,6975645060,19364120400,15714076170
"9_$3|bcCg(3cFjh@X^]p8w5RO40K~V`0!@qEq~d""v%A",18113794,3841483,9922400194,22499191193,21630335020
R#R8VbZ<`nzUMUYx;-f$],18426849,4580044,7347293725,19427867901,16490842075
t3=U!q1+osG0f/G^&,18466832,3875144,7526756413,19640108895,16872063113
#4&Ilx;5gn,18649912,3876829,10016663551,22585955980,21933955756
"heCdok.55>IL""mfpXWZei6n\st45 Rmp",18119410,4234838,7474278031,19417270732,16693962145
"6aZ""~rBehf^B\x=3FHsgXn>",17907962,3897944,6762569085,19438383958,15488830380
"41C`k]8]YxNEw!Den""T$uwP*(<+[Jy00Gx",18383065,3828985,10076002672,22773908465,22142710267
"m9""5r^w(#>5v(k*}3(1\>{",18310527,4433219,7688587701,19659642975,17180558991
"\4*<MI!O^,L",18099367,3962991,6888896637,19423724949,15735072567
1{Gx<3jvNw'iF*>7k(&/,18759823,3834900,9839859755,22584234860,21590337093
#k^)poPBXVTjN}J,17550581,3988856,7195365153,19392117730,16334354136
<f][yiY'HRi^S3=D~|NeZycM1>/tayB4Us/'A/Z=64is,18426206,3885554,7239168648,19801702696,16401201799
"?WXs3j2iic72ajHxCb7mU^M""",18483000,3993936,10004922634,22527039597,21819258127
"e$flv""^?FMZq{It+)k_r[_X)[|N`N@I?nx1/_22z",19247408,4184983,7765407788,19846972814,17353634100
SX(jiR.BI*bj![,19061225,3993576,7247495524,19732812157,16383981798
bQS=yzz-8R5>m=\w,18753376,3913728,10142804071,22667264822,22037488059
TOP+>|ZE%3,18171355,4134098,7988043014,19675855950,17799033469
s&IN|B^o#/}LwNB >r]3<=)8lfS{&O3t1g)G,18685379,3963334,6825686028,19357841384,15523063604
?|M+oG~&e9(5V8,19419470,3859583,10150607707,22695292554,22003062854
86JRvfXuL?we %|9`$d$CPTQ6%fB4,17974461,4048715,7564264401,19621681520,17007228283
"3$HUi7Pj|W%^'j,.,iR7@}ccJSVDc&<-@^mMjXOmSr]m.A7@",18186522,4261813,7181124579,19654402620,16380141057
"g2c3wcFGAaNW9U@E8+8U%`qiwI""]x6E|5$ai,G)vo",18756838,3904122,9499956496,22099585727,20777975620
"3A<iR&E|&B%\XoY""v[U",18507853,3875954,7194039959,19266304069,16159467676
[A<r2Jup2JV[)0afUB{+vOO%,18940751,3933147,6399901775,18666707205,14416093135
%F2&1K%@|n!D:D8pDqmO4,18266661,3808161,9812192331,22366033870,21384592623
"]V>.Ue/Tk[}H ;6PmO%||VYkR|R52gk(N>""1;9hI",18198241,3895309,7397548785,19446118928,16602392364
"~,<#>bFIEaYsu>h93W-W""Y(",18466093,4480001,6966638540,19400196812,15784769918
"za}1uWdf3|=4Nc""",18437749,3804649,10068931574,22734397931,21934087889
"ICNCU|$.P3iw+j""W_%1o,vM$0z+kPzJt;Hw3s1j8 <",18524695,3897095,7312514885,19366716546,16421959772
"h~'fVx@ae:4.@#PO|*h`$@BQT'B46CpGFA&.>IRSR""K2-GEB",17892192,3854707,6756482283,19286976779,15449537112
"uj[f {L"";`sr%EoZ@QwMh#1&h@(Ax6\#`p",18598075,3832265,10098057888,22669063879,22034021134
{[!c*~`E`<puci(x'Xw-V,17782679,4005472,7315026478,19396691020,16419914358
"*DT~-7(*vB5!3n\EM,a 1603_?",19235336,4583391,6738292227,19071653115,15201854691
\l031St3 ~;8IqRB8mJ8^H{0JwX}swh(k.'XB<3p~J1r| QUS,18521582,3839246,9623793607,22275762401,21170450799
1O^zoh!#D:ZS.eesPMNftvV^LY8;}gSl)ep|zu8|Mp,18831798,3910581,7414062102,19476386608,16652443274
M\pBy34\sM|I6V@1 VPUqPG''kshG/v47,18616432,3896590,6786677687,19245670432,15452157727
zF`'L5`<t$?Z\,18109492,3814712,9685195188,22559624505,21376160960
"vj@_N:DP,FoDl-0R/PFDW1EF9[1{O",19088664,3810385,10269349560,22668178872,22201383235
Q}qGaWNp:W>sl:;n}OB{223G KYW}X@=Yi,17558330,3916964,7503314758,19724142331,16943486812
3i0+HFUmq9v15UsHD#V47V3x|FQ{A)B,18121959,4569422,6731175231,19377645720,15440785041
5j}mU@0+BrQ\Z8MkLP;;T<3I,18946786,3896463,10126012869,22517162844,22035910031
sOH{CWCa~[Ow9>N,18557356,3900606,8312547072,19559102220,18412332979
eR lTY.fi9,17830455,3818914,7217236280,19998638306,16413394029
ZqZcEPKH4bA^AP,18296837,3794483,10442285111,22797561669,22738519041
0)pc{<K TL,18288612,3874107,7419732478,19566829003,16711831635
@rFvlE(]^u=&5*RZ>.|Fes(R4>Nw@sGDY*Hw%,18113343,4169856,9749833135,22576198746,21494302353
"([dI^nkqP6,*SuK!_SgwU5sUi $^+JD.A",18834706,3812287,10481698200,22789274717,22836817870
",p\/jb,w'uid<5TJM'l:<%7l",19725758,4851720,8657352069,19544682302,18839861044
:yu.iJ}.KU%ACtPS76:Z]+#AxoU30}+&53+AHI3y,19102961,3783915,9749796296,22470108194,21369666967
"&.qm,Vc(?+'.Unezn?-)E)0ih;F:?\}\OQ^jxw",18227370,3873774,10467798786,22561356111,22767154890
"kZbSZdu_~$Y4@[qLQ7'\""`+/:EtSn$6xAG#Hcq",19491181,3918183,7220516447,19447772965,16371062615
"@-F-BH{slWo{*MX.,u(^/d_T-l&R&mPOENZ[",19646817,4488186,9937101163,22521405357,21645418144
?u7^m53S\K@-`)iNa?~!|6]])Vq)a$huU.?K`3,18138592,3872907,10472390069,22509458164,22671372773
*qlX{a20L%pY4C6avJY?WHn],20695388,3983076,7571769674,19504729237,16845880018
'rogsJV;4Z6A,18885783,4118416,10100987952,22693662692,21962589437
HK7Pkl-ocP1'O5mio&)rht'6ttbXxoL@8~,18264847,4188116,10439724408,22439512936,22607377660
]\SrV<olnEk:X='@yaP'Dy-,20181436,3911362,7159950190,19317955754,16152118991
~% pzUQ1aZxn~|M&$h7_;,18564395,4261776,9559928424,22421042899,21109363886
l`?7x}{ZEgnk{,18674207,4925819,8515285741,19461072084,18491428032
:H>EV3n(.9Z}XK_r`h'ZlA-\Sby.Xf)Ar,18923413,3885509,6889721852,19267129252,15728039992
f[oU;u'$`o5j6T9p`z@VB,18876729,3914500,9739723543,22398610701,21367933019
"}ilHL3}]DtK1""st'8UVT~QU",18192143,4050015,7372273687,19493108173,16600718616
d  #GSi`_GpPIeyxK1nPT*6'+oqoH$d@iGu(tJA.fnLz,18467114,3840693,6853424410,19364889510,15639648130
qSU@oIUd|VY{?lhHvgPWw{3xu^A$/Q,18322164,3974028,9932014743,22648081153,21798377972
Jx6el)VMfmGM1A)DI3KGTw%z_ymMV&Z*-U9;+gSfVP.S,18066175,4316426,7210661880,19399220303,16343317078
"mPs%_TW+""l8aH7^MYVQf'nW",18404397,3830269,6642061637,19159198977,15337845999
ErpEte/~v(B<c:XZ`1hIFtE_F~1{!S,19315826,3810929,9913972132,22561679937,21612921940
_eP1Mx1wJdDL-d|IY2p>&CsZ2]([=?*:x8*-*U45)y,18177680,3897368,7643508801,19678177565,17093473120
"UMD^Gi1a;/!-QvJP:F5t|SxC""sg",18298868,3937196,7016535902,19329321138,15970547958
61P~:CV`d2AUe\gT{pH>,18967410,3940522,10064077731,22641735596,21907890915
IWl2Vh_Cd42zEtt_YdW_9`E(!f-~M}@hf`Nv$+E)?SKI!F,18013897,4458957,7633966887,19675253997,17079034518
"%44Woc^+JTi`F~+FvZIo&""z~ ?_3mmEmY~,X.xR`rN@IasRS",18742465,4003751,7360402952,19504419443,16443605739
"BX0p<n=5?*JDU:j,}_>7/v4/~'~XNxahz",18854200,3931819,9907728536,22535148546,21638317170
*3PFMH8;m>S_96\dK,18268238,3865167,7320745979,19430492874,16478532666
"iu?d]EPXNwlT<@A_:Su,v",17972692,4688281,7623451675,19448779222,17010380266
Cf&MG7ZkUzQ@vf6?xyff#\F'teDpvaq^PCys{\\LnG3=9aM$,18313438,3942817,10131338512,22658240130,22040397438
"n0<Zw&Xm:w){dcm'Es,jSXu7bQ_\;eVjX.*-xFbgFMARvw",17970311,4504982,7259683132,19377869522,16421034431
"cORxP=,!C8.<y/<*",17626116,3848771,7360811664,19973609764,16686582397
"-""I|1OWoCFn\v+bdZ5'|5n`{D,@Vir)S8BnD 1nm",19336244,3828929,10192709969,22654973624,22037570284
"b$'WKRE""N4Po,G>6h 4wzJ1f63",18271953,3892018,7562535768,19623978146,16902094636
"Kqld[s)1P0`Fwl2XGR [x6RHZl_)rP,|A_Y_#1^YA&o",17926491,4156528,6860190882,19264605483,15497869646
/sk?z_TRv;3U^;S2zjj</hIl1q_kE#o03t'~&,17871899,3878460,10200222859,22686719547,22247846544
y]{'1R|}-p5]Z2f_2z}^Bi{8u,19310138,4334047,7424663027,19316730154,16505911250
dN!!?oDg%M};]r#:G'4)#5 W>%p!Zf}`<*+X,17747718,3813996,6816671490,19530486441,15571205941
IqOJpaDB8ex$&,18494709,3782219,10303528087,22674256568,22322376923
"s)eU1`|rq].048y$w=_d.!EB8#4eE'##0O[dBE]Qq,hmd+B",18131237,3890710,7202294157,19374897176,16278987261
|9O>0y6Sh 5}YY~3a\ez%n U,17519311,3958277,6237130534,18862705816,14420146962
"b+i|,CGwm J$-d[%a)EIyA]{/)""?1)_;A)~mar-$3*ojTW7of<",18863136,3856872,10085235946,22484333814,21848805047
2xfkKW:>0o-8eU~/2<:P.Ger`!u=3B$t4-,18201175,3920850,7398181069,19465295393,16614861205
[&pNzKZ\{F@)~L-k..P6$2)uM@A;1_~`nG,17777146,4487146,7042253164,19660588442,16041615928
"*DSK$SQ>u)USH7|;Jew2Ye""uL1H#",18116695,3917749,10222194395,22554395716,22225070388
"?T]SR,GUr_%G]cRZ=mlqwo""l{5DLB&",17825819,3965429,7343921235,19408303937,16597950503
Eg}G1piMW%e[C2rJ=%.k,18187410,3796726,6679634820,19354406022,15277384229
"K4U~dBE'I""VV{c~R5\RZ,uc>vzPp~#(Ri?k{s0=UW%MC",18101035,3892577,10218640483,22627622266,22218934019
"C1W&j3T^(ws#% lkJCopap,NbC",17707370,4429216,7764925203,19504768196,17225814120
"5pi%b_'beVA\2@Bk2B[,}cb5Wqj;P#BiS/)83",18038975,4335407,6695876904,19434356674,15389637596
9#)14r@Q)1,18467120,3835487,10210380379,22678500452,22205862447
"q#(s,ALa}cnx1\OHBWpfhcD",17667997,3861944,7322762386,19509147098,16516738235
^QTEvpR4GUpWnF|-Y@(nD,16792342,3926692,6926850151,19557146990,15765235716
"CV&YeS6uwha&""]|SqF3skQWXZX \\K-^q/",16297301,3823751,9736506655,22679737536,21522311564
AlYj4FF+ZERAh@D #ha0fUMlf0,16236201,3921075,9786655303,22641452471,21561570462
p5[FtS(zwk~yNG#d!YVn&G|E>),16328661,3814555,9814563545,22785078956,21709646107
"] N=""_ZN,ve]&d,|UJkOX3;MYz",16541320,5035441,9759993870,22669612648,21547981866
